省、自治区,城市规模/万人,城市首位度,城市指数,基尼系数,城市规模中位值/万人
京津冀,699.70,1.4371,0.9364,0.7804,10.880
山西,179.46,1.8982,1.0006,0.5870,11.780
内蒙古,111.13,1.4180,0.6772,0.5158,17.775
辽宁,389.60,1.9182,0.8541,0.5762,26.320
吉林,211.34,1.7880,1.0798,0.4569,19.705
黑龙江,259.00,2.3059,0.3417,0.5076,23.480
苏沪,923.19,3.7350,2.0572,0.6208,22.160
浙江,139.29,1.8712,0.8858,0.4536,12.670
安徽,102.78,1.2333,0.5326,0.3798,27.375
福建,108.50,1.7291,0.9325,0.4687,11.120
江西,129.20,3.2454,1.1935,0.4519,17.080
山东,173.35,1.0018,0.4296,0.4503,21.215
河南,151.54,1.4927,0.6775,0.4738,13.940
湖北,434.46,7.1328,2.4413,0.5282,19.190
湖南,139.29,2.3501,0.8360,0.4890,14.250
广东,336.54,3.5407,1.3863,0.4020,22.195
广西,96.12,1.2288,0.6382,0.5000,14.340
海南,45.43,2.1915,0.8648,0.4136,8.730
川渝,365.01,1.6801,1.1486,0.5720,18.615
云南,146.00,6.6333,2.3785,0.5359,12.250
贵州,136.22,2.8279,1.2918,0.5984,10.470
西藏,11.79,4.1514,1.1798,0.6118,7.315
陕西,244.04,5.1194,1.9682,0.6287,17.800
甘肃,145.49,4.7515,1.9366,0.5806,11.650
青海,61.36,8.2695,0.8598,0.8098,7.420
宁夏,47.60,1.5078,0.9587,0.4843,9.730
新疆,128.67,3.8535,1.6216,0.4901,14.470

